2022-05-14 14:05:834 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 15:05:411 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 15:05:709 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (42ae198108757b11278426e23a6cbaf7)] -> link text: Log in]
2022-05-14 15:05:806 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (42ae198108757b11278426e23a6cbaf7)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 16:05:413 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:650 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (34a969566ea5fbf0bcf7f72d555074f7)] -> link text: Log in]
2022-05-14 16:05:745 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (34a969566ea5fbf0bcf7f72d555074f7)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 16:05:38 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:340 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d9468eaaf7c508e4c292b9cfe0b1095a)] -> link text: Log in]
2022-05-14 16:05:879 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:852 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (28df9a82a744c97ddbe98f923046af7e)] -> link text: Log in]
2022-05-14 16:05:987 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (28df9a82a744c97ddbe98f923046af7e)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 16:05:988 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:913 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f132dd9dc30db282ead17e6faf28d72e)] -> link text: Log in]
2022-05-14 16:05:01 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:829 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d00d0d079375f34822859ff48fb2afff)] -> link text: Log in]
2022-05-14 16:05:912 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (d00d0d079375f34822859ff48fb2afff)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 16:05:166 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:708 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (603be717e704fc178b07bae63379bbbd)] -> link text: Log in]
2022-05-14 16:05:594 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:394 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (89ea701e7f0509335beaac5ebd71dfd9)] -> link text: Log in]
2022-05-14 16:05:552 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (89ea701e7f0509335beaac5ebd71dfd9)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 17:05:572 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 17:05:677 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dd65cf361f97e15f0bd0f05bace9e934)] -> link text: Log in]
2022-05-14 17:05:798 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (dd65cf361f97e15f0bd0f05bace9e934)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 17:05:53 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 17:05:928 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b65e73d87e4b0d0a9782f3e51c588684)] -> link text: Log in]
2022-05-14 22:05:689 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:539 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:154 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b13c6385e4468c5f02f0d49dc469ebd9)] -> link text: Log in]
2022-05-14 23:05:199 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b13c6385e4468c5f02f0d49dc469ebd9)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 23:05:795 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:62 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (6e668c82972e8242def30dc174258245)] -> link text: Log in]
2022-05-14 23:05:97 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (6e668c82972e8242def30dc174258245)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 23:05:875 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:257 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (93d92b98b19d7bf164463d74f007232c)] -> link text: Log in]
2022-05-14 23:05:892 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:801 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (6d0ca1ca232a799fc3a91136f19058a1)] -> link text: Log in]
2022-05-14 23:05:397 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:222 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (77e67878e1780e24653e73f17b6bc95f)] -> link text: Log in]
2022-05-14 23:05:86 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:198 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (72f72b2bc1bb21d4a656b5815bb5bbe2)] -> link text: Log in]
2022-05-14 23:05:244 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (72f72b2bc1bb21d4a656b5815bb5bbe2)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 23:05:995 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:529 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (cbf839d5d5d613040b3ff83e09a5ad04)] -> link text: Log in]
2022-05-14 23:05:924 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:595 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (6f463ea2b09c9d7a9db04c686f99857e)] -> link text: Log in]
2022-05-14 23:05:933 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:428 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (0ad8e3c441da406eea9c765fdb96322e)] -> link text: Log in]
2022-05-14 23:05:77 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:760 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (7bac075c2b65aac28bb20a2ab4a6e3ee)] -> link text: Log in]
2022-05-14 23:05:810 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (7bac075c2b65aac28bb20a2ab4a6e3ee)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 23:05:648 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:77 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (7e227df99b1463f4f138ef7538cdb0c0)] -> link text: Log in]
2022-05-14 23:05:533 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:929 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (6f31e5c158ea82045ff7a534928ba6e1)] -> link text: Log in]
2022-05-14 23:05:313 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:846 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e971d1ac337760ac9075d6f45d639cb9)] -> link text: Log in]
2022-05-14 23:05:232 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-14 23:05:820 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (32db9b3b28abc8aef67cc5b5bbf818fc)] -> link text: Log in]
2022-05-14 23:05:372 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (32db9b3b28abc8aef67cc5b5bbf818fc)] -> link text: Log in]
2022-05-15 00:05:931 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:555 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1ad515efab958e8c14b66654330d0aa1)] -> link text: Log in]
2022-05-15 00:05:596 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (1ad515efab958e8c14b66654330d0aa1)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:397 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:135 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4c0d39ec1a0319e05414a2058899f4e2)] -> link text: Log in]
2022-05-15 00:05:563 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:233 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ffdd52262401a3e98ddbcc64fd47176a)] -> link text: Log in]
2022-05-15 00:05:615 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:315 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e502c7131595f510082cb53afcdcbd51)] -> link text: Log in]
2022-05-15 00:05:681 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:81 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dc0e1635e26c172990cb6dc3c26adc57)] -> link text: Log in]
2022-05-15 00:05:933 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dc0e1635e26c172990cb6dc3c26adc57)] -> link text: Log in]
2022-05-15 00:05:683 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:832 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4f59e874dd8fc68175c5506684bad74e)] -> link text: Log in]
2022-05-15 00:05:905 INFO  LoginPage :50 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4f59e874dd8fc68175c5506684bad74e)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:676 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:370 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1c823693b0e8fceac2525f84842b55b7)] -> link text: Log in]
2022-05-15 00:05:849 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:618 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a892155618609174e6fb6441a57ff23a)] -> link text: Log in]
2022-05-15 00:05:91 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:960 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (26e4eb34caa8f4550b997f1bd4c1b4d4)] -> link text: Log in]
2022-05-15 00:05:362 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:777 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1f2b775f0ba69a0aadcef3dad05e9f05)] -> link text: Log in]
2022-05-15 00:05:327 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1f2b775f0ba69a0aadcef3dad05e9f05)] -> link text: Log in]
2022-05-15 00:05:215 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:56 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f050298f65fa2508f723eedd6b39208c)] -> link text: Log in]
2022-05-15 00:05:93 INFO  LoginPage :50 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f050298f65fa2508f723eedd6b39208c)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:904 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:390 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (231c17d0a115a84f15efa9e4f44e8363)] -> link text: Log in]
2022-05-15 00:05:801 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:531 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ee630643c97202a6b3dbde14a8951422)] -> link text: Log in]
2022-05-15 00:05:952 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:741 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ae3019a7c4725f92bd07c1fe63b108cf)] -> link text: Log in]
2022-05-15 00:05:147 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:609 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (addb93d7ca5d9560db83d1d24481c2e4)] -> link text: Log in]
2022-05-15 00:05:164 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (addb93d7ca5d9560db83d1d24481c2e4)] -> link text: Log in]
